Cygnus version: 0.28.0.7,File version: 2021.11
Operative system: Windows
Record datetime: 2025-09-24 16:50:32.175
Device ID: STEEG_DG329018
Device verison: 
Device bandwidth: DC to 131 Hz
Device sampling rate: 500 samples/second
Data type / unit: EEG / micro-volt (uV)
Bandpass filter: None
Notch filter: None
Timestamp,Serial Number,Fp1,Fp2,AF3,AF4,F7,F3,Fz,F4,F8,FT7,FC3,FCz,FC4,FT8,T7,C3,Cz,C4,T8,TP7,CP3,CPz,CP4,TP8,P7,P3,Pz,P4,P8,O1,Oz,O2,Event Id,Event Date,Event Duration,Software Marker,Software Marker Name
0.000,1877792,10951.19,8864.3,11000.05,3999.44,26161.96,4858.96,12928.38,2533.48,12111.65,11315.3,12869.64,10339.02,-1237.71,20020.99,-349.45,4865.97,4044.82,9284.65,8855.67,9267.03,7655.11,7538.08,2251.13,22793.46,9642.81,5675.29,6269.04,4232.66,7872.06,6928.5,12289.12,7305.53,,,,,
0.002,1877793,10954.54,8860.07,11001.64,4004.53,26166.05,4860.59,12925.92,2533.03,12121.98,11313.31,12867.33,10339.26,-1234.99,20045.42,-359.0,4859.34,4042.0,9292.21,8904.06,9246.97,7640.55,7532.69,2250.53,22783.77,9622.35,5649.42,6261.86,4228.4,7853.12,6959.59,12292.58,7299.27,,,,,
0.004,1877794,10964.06,8867.42,11008.38,4012.11,26164.21,4864.73,12929.88,2541.6,12131.22,11315.51,12870.71,10338.91,-1234.25,20048.8,-354.34,4861.91,4041.69,9290.16,8962.06,9252.51,7641.76,7531.39,2251.87,22809.26,9625.22,5648.36,6263.87,4232.52,7855.12,6985.99,12311.86,7301.99,,,,,
0.006,1877795,10971.73,8875.38,11012.06,4014.32,26153.76,4864.63,12932.73,2549.51,12130.69,11314.47,12871.24,10333.48,-1237.83,20038.22,-350.74,4862.17,4037.59,9278.03,8992.75,9258.81,7643.84,7526.84,2246.31,22843.76,9628.06,5654.01,6263.99,4231.11,7860.94,6995.64,12334.22,7318.42,,,,,
0.008,1877796,10969.82,8871.92,11007.32,4008.88,26142.34,4858.06,12928.79,2548.2,12118.01,11305.95,12863.78,10325.53,-1241.4,20030.84,-360.31,4852.12,4029.35,9268.08,8972.25,9237.0,7633.3,7516.98,2233.9,22848.02,9607.23,5644.21,6253.35,4216.41,7850.46,6983.52,12335.87,7333.51,,,,,
0.010,1877797,10965.4,8866.97,11004.37,4007.62,26142.39,4855.71,12927.03,2546.88,12105.48,11300.62,12860.13,10326.32,-1237.77,20027.13,-365.62,4847.18,4029.11,9271.6,8944.56,9207.18,7627.55,7514.77,2231.03,22833.92,9586.01,5635.49,6245.85,4207.4,7839.09,6965.2,12317.86,7324.1,,,,,
0.012,1877798,10964.89,8870.81,11008.75,4013.65,26152.79,4861.82,12931.92,2549.58,12101.53,11306.48,12867.13,10335.75,-1233.14,20020.26,-355.14,4857.43,4038.96,9280.25,8956.81,9202.19,7639.93,7524.51,2240.17,22830.61,9590.91,5646.15,6252.66,4214.69,7845.53,6958.79,12302.12,7296.01,,,,,
0.014,1877799,10959.04,8870.84,11007.02,4010.48,26158.37,4862.97,12930.07,2540.52,12097.93,11314.28,12870.49,10337.33,-1243.37,20013.85,-347.26,4864.96,4041.5,9275.05,8984.75,9219.34,7648.9,7528.73,2239.71,22828.95,9606.25,5655.21,6258.27,4217.26,7855.0,6958.54,12295.81,7280.1,,,,,
0.016,1877800,10941.9,8855.65,10991.43,3991.83,26153.19,4851.79,12914.66,2515.59,12090.31,11314.32,12860.14,10325.07,-1265.77,20013.9,-353.08,4855.45,4028.9,9257.06,8981.2,9241.17,7636.72,7517.3,2222.54,22812.38,9612.8,5641.79,6248.02,4202.43,7850.3,6947.74,12286.98,7286.14,,,,,
0.018,1877801,10930.28,8842.62,10980.46,3980.35,26148.83,4844.33,12904.66,2502.81,12093.51,11312.81,12851.93,10317.1,-1274.11,20018.1,-355.15,4846.49,4020.32,9250.28,8957.08,9261.08,7625.62,7508.2,2214.03,22804.03,9623.58,5629.38,6237.88,4193.91,7846.08,6934.06,12277.8,7296.2,,,,,
0.020,1877802,10941.91,8853.11,10992.05,3994.55,26152.69,4855.06,12917.42,2523.82,12116.54,11317.78,12862.07,10327.35,-1254.51,20024.4,-344.51,4857.0,4031.42,9266.54,8955.95,9264.56,7639.42,7518.11,2230.35,22828.96,9642.71,5645.22,6248.0,4210.19,7856.53,6941.43,12289.22,7303.98,,,,,
0.022,1877803,10965.15,8876.43,11012.75,4017.29,26155.83,4871.17,12938.85,2557.09,12138.54,11322.84,12878.25,10341.99,-1227.38,20035.2,-337.77,4873.01,4047.5,9287.5,8981.55,9235.33,7659.62,7533.0,2250.29,22863.15,9640.64,5667.8,6265.44,4229.75,7862.09,6964.74,12320.49,7318.2,,,,,
0.024,1877804,10974.5,8887.61,11017.95,4021.4,26151.62,4872.42,12944.39,2568.05,12135.12,11318.51,12879.52,10342.09,-1218.48,20046.32,-340.82,4871.91,4047.92,9292.97,9003.08,9198.83,7656.76,7531.8,2251.64,22869.94,9609.53,5662.1,6264.88,4229.16,7845.3,6970.16,12338.24,7329.11,,,,,
0.026,1877805,10967.19,8885.59,11008.56,4009.12,26148.24,4862.14,12935.27,2556.51,12115.43,11307.66,12868.83,10332.57,-1226.0,20046.27,-339.0,4859.0,4038.05,9287.03,9004.93,9203.97,7638.5,7520.4,2244.38,22855.4,9590.96,5638.95,6250.44,4221.13,7827.96,6950.78,12324.52,7318.79,,,,,
0.028,1877806,10959.7,8883.98,11002.06,4001.09,26151.29,4856.46,12929.28,2545.64,12106.69,11298.44,12862.12,10328.96,-1233.45,20030.48,-334.6,4852.46,4034.43,9282.25,8990.75,9246.98,7630.37,7517.01,2243.62,22843.2,9609.37,5632.42,6244.99,4223.09,7834.86,6940.43,12303.58,7301.15,,,,,
