Serial Number,Fp1,Fp2,AF3,AF4,F7,F3,Fz,F4,F8,FT7,FC3,FCz,FC4,FT8,T7,C3,Cz,C4,T8,TP7,CP3,CPz,CP4,TP8,P7,P3,Pz,P4,P8,O1,Oz,O2
1876192,10966.62,9056.79,11011.36,3942.0,26130.66,4847.33,12923.29,2551.45,12004.14,11323.8,12917.56,10410.68,-1199.89,19992.96,-391.24,4854.35,4087.82,9302.71,9035.96,9253.22,7567.59,7572.86,2239.24,22847.77,10054.75,5542.61,6219.55,4096.99,7794.72,7054.03,12228.42,7272.63
1876193,10967.69,9059.52,11011.99,3946.42,26137.86,4849.3,12922.84,2554.49,12033.64,11331.8,12920.25,10411.8,-1200.2,19983.44,-369.21,4858.02,4086.84,9298.28,9031.98,9248.08,7565.08,7573.58,2231.29,22884.12,10032.27,5532.86,6222.9,4087.69,7797.5,7119.16,12262.03,7291.68
1876194,11006.85,9113.07,11052.04,3982.5,26184.44,4888.73,12962.54,2602.01,12087.96,11381.91,12962.22,10445.82,-1162.29,20010.89,-308.1,4903.48,4121.62,9337.62,9056.21,9283.57,7609.87,7608.35,2272.68,22968.47,10073.66,5582.44,6261.66,4135.79,7784.49,7158.86,12317.55,7361.37
1876195,10995.36,9112.58,11037.92,3963.23,26152.17,4868.7,12949.57,2591.51,12050.63,11353.66,12940.45,10427.89,-1177.8,19988.09,-394.11,4878.0,4104.94,9319.56,8976.51,9258.27,7594.05,7591.23,2251.76,22911.66,10081.44,5578.01,6244.14,4112.14,7785.96,7151.84,12300.97,7361.95
1876196,10968.36,9090.45,11005.37,3926.53,26104.78,4831.02,12915.46,2550.24,11998.01,11308.73,12900.94,10392.49,-1221.93,19986.89,-447.17,4833.83,4068.82,9273.65,8874.67,9230.64,7552.83,7553.64,2201.96,22698.33,10050.06,5537.73,6207.21,4065.34,7797.58,7092.79,12269.01,7326.5
1876197,10970.15,9091.39,11003.58,3924.12,26105.81,4827.89,12914.08,2546.85,12003.47,11315.39,12901.83,10392.13,-1221.93,19987.82,-411.05,4837.86,4069.0,9274.9,8901.94,9232.61,7552.65,7552.39,2206.92,22743.53,10035.13,5528.7,6202.97,4069.49,7810.73,7070.12,12266.64,7325.43
1876198,10977.52,9095.37,11010.38,3929.93,26117.07,4834.82,12921.63,2556.15,12022.96,11324.91,12911.4,10401.56,-1212.18,19985.77,-406.18,4852.38,4081.03,9286.66,8930.15,9241.91,7571.21,7567.9,2222.7,22764.72,10056.81,5556.38,6223.8,4087.06,7813.63,7120.64,12294.49,7352.07
1876199,10957.09,9075.03,10995.4,3918.22,26111.31,4821.85,12907.77,2540.9,12011.11,11304.8,12897.94,10393.52,-1222.6,19980.0,-431.97,4839.38,4073.43,9281.29,8933.41,9237.93,7559.76,7560.48,2217.29,22763.46,10057.66,5541.09,6211.55,4077.09,7814.48,7110.72,12260.56,7310.27
1876200,10960.18,9078.43,11002.56,3930.73,26130.66,4832.04,12916.22,2546.67,12018.94,11312.62,12905.85,10406.26,-1214.46,20000.48,-421.87,4845.99,4085.63,9291.98,8986.25,9233.19,7561.19,7571.97,2231.11,22810.63,10018.14,5535.01,6222.32,4090.95,7828.56,7111.25,12267.13,7306.92
1876201,10958.97,9068.06,11002.91,3928.81,26130.13,4834.86,12916.76,2541.75,12010.75,11314.45,12909.97,10409.52,-1215.35,19999.58,-416.95,4849.48,4089.21,9294.88,8995.5,9230.24,7566.2,7579.43,2241.43,22835.62,10028.83,5549.0,6241.46,4112.27,7841.57,7172.09,12303.12,7322.7
