Cygnus version: 0.28.0.7,File version: 2021.11
Operative system: Windows
Record datetime: 2025-09-24 16:48:29.951
Device ID: STEEG_DG329018
Device verison: 
Device bandwidth: DC to 131 Hz
Device sampling rate: 500 samples/second
Data type / unit: EEG / micro-volt (uV)
Bandpass filter: None
Notch filter: None
Timestamp,Serial Number,Fp1,Fp2,AF3,AF4,F7,F3,Fz,F4,F8,FT7,FC3,FCz,FC4,FT8,T7,C3,Cz,C4,T8,TP7,CP3,CPz,CP4,TP8,P7,P3,Pz,P4,P8,O1,Oz,O2,Event Id,Event Date,Event Duration,Software Marker,Software Marker Name
0.000,1816692,9158.45,6023.53,8922.77,2196.51,24815.44,3343.46,11733.15,1041.95,10468.48,9777.23,10753.02,8938.95,-2780.47,18977.84,-1848.89,3459.74,2903.89,8079.62,7301.55,7969.47,6032.11,6503.73,796.08,21690.94,10992.01,4264.85,4746.48,3247.66,7606.79,6535.87,11101.62,7243.4,,,,,
0.002,1816693,9170.69,6028.11,8933.89,2194.75,24817.58,3342.4,11742.25,1046.65,10457.76,9791.79,10750.58,8937.61,-2773.27,18969.44,-1830.0,3455.83,2898.84,8082.72,7284.34,7982.49,6027.27,6497.39,801.12,21688.36,10976.73,4261.77,4738.54,3250.4,7606.33,6568.29,11094.45,7238.26,,,,,
0.004,1816694,9153.74,6008.09,8906.48,2169.18,24823.51,3325.03,11713.79,1019.98,10442.19,9783.0,10733.75,8921.58,-2795.41,18951.36,-1848.63,3437.99,2884.34,8067.02,7262.76,7987.28,6007.6,6483.39,780.31,21668.41,10961.89,4234.33,4712.56,3221.67,7599.45,6536.64,11043.92,7175.39,,,,,
0.006,1816695,9120.51,5975.25,8860.47,2135.82,24827.19,3301.2,11666.58,978.55,10428.3,9756.35,10711.56,8898.88,-2833.04,18941.3,-1884.76,3415.38,2866.69,8041.92,7251.17,7980.16,5983.05,6467.43,746.68,21648.67,10949.31,4197.37,4681.13,3179.27,7588.49,6465.3,10980.25,7093.72,,,,,
0.008,1816696,9104.6,5960.73,8841.47,2126.43,24824.9,3292.27,11645.78,962.18,10428.13,9737.99,10703.34,8889.67,-2849.67,18955.24,-1893.49,3407.73,2860.76,8031.56,7264.71,7968.41,5974.89,6462.44,732.58,21653.47,10942.35,4182.6,4670.61,3163.71,7584.67,6424.96,10958.86,7069.67,,,,,
0.010,1816697,9112.46,5972.05,8854.56,2141.55,24824.49,3300.45,11658.36,977.56,10442.15,9740.23,10711.06,8898.28,-2836.68,18975.82,-1871.32,3417.3,2869.54,8041.08,7292.22,7963.63,5985.36,6470.73,743.81,21673.19,10942.38,4193.34,4683.83,3180.27,7593.78,6435.22,10977.07,7103.17,,,,,
0.012,1816698,9123.35,5988.86,8870.08,2155.73,24830.7,3310.06,11675.14,996.9,10455.86,9748.72,10720.13,8909.6,-2817.95,18978.27,-1852.02,3428.33,2880.03,8053.24,7305.73,7965.18,5997.0,6480.14,757.21,21679.81,10945.84,4207.34,4699.75,3198.76,7604.34,6461.97,10995.67,7134.81,,,,,
0.014,1816699,9128.57,5997.92,8878.86,2159.84,24834.76,3314.23,11684.52,1005.61,10458.0,9749.54,10723.9,8913.26,-2808.96,18967.11,-1850.47,3432.36,2882.15,8056.52,7295.3,7962.86,6000.26,6481.32,759.28,21666.55,10948.64,4215.6,4706.94,3202.85,7601.37,6489.71,11014.84,7152.29,,,,,
0.016,1816700,9140.22,6007.81,8897.24,2167.32,24830.11,3320.87,11702.02,1016.62,10454.6,9752.26,10729.92,8916.13,-2800.43,18961.94,-1850.38,3437.22,2881.56,8058.63,7279.44,7958.13,6004.29,6480.38,761.8,21649.62,10952.53,4229.92,4714.94,3206.46,7589.02,6531.86,11060.94,7194.85,,,,,
0.018,1816701,9159.03,6022.96,8921.05,2180.1,24824.39,3331.43,11726.24,1033.75,10457.01,9770.06,10740.52,8925.0,-2787.33,18966.62,-1843.51,3447.79,2887.05,8067.39,7279.42,7963.97,6015.96,6486.82,774.55,21645.11,10961.16,4251.94,4728.56,3219.28,7583.78,6572.15,11110.58,7251.73,,,,,
