Cygnus version: 0.28.0.7,File version: 2021.11
Operative system: Windows
Record datetime: 2025-09-24 15:56:22.992
Device ID: STEEG_DG329018
Device verison: 
Device bandwidth: DC to 131 Hz
Device sampling rate: 500 samples/second
Data type / unit: EEG / micro-volt (uV)
Bandpass filter: None
Notch filter: None
Timestamp,Serial Number,Fp1,Fp2,AF3,AF4,F7,F3,Fz,F4,F8,FT7,FC3,FCz,FC4,FT8,T7,C3,Cz,C4,T8,TP7,CP3,CPz,CP4,TP8,P7,P3,Pz,P4,P8,O1,Oz,O2,Event Id,Event Date,Event Duration,Software Marker,Software Marker Name
0.000,253192,3615.35,4808.4,1889.3,-5651.46,304.07,173.09,4914.25,-5210.82,-255.66,-298.22,7796.82,4604.41,-8569.44,18807.47,-2261.37,-2082.33,-1859.26,2520.96,4223.18,2286.49,-1521.08,1165.73,-2868.58,16995.77,4072.4,-3273.28,16.58,-2319.66,5757.76,-1285.94,1335.29,-1555.28,,,,,
0.002,253193,3604.47,4803.37,1879.03,-5657.41,297.99,166.44,4906.94,-5215.8,-259.94,-307.77,7788.93,4598.07,-8575.36,18814.29,-2268.87,-2092.21,-1864.37,2517.97,4221.65,2304.99,-1532.16,1161.65,-2867.65,16992.68,4071.15,-3284.89,9.64,-2319.02,5759.33,-1297.59,1321.43,-1567.74,,,,,
0.004,253194,3599.19,4798.86,1873.71,-5660.11,295.4,162.57,4901.7,-5219.18,-260.45,-312.04,7786.02,4594.34,-8579.76,18807.67,-2256.19,-2096.01,-1867.47,2513.52,4208.31,2289.84,-1538.59,1158.99,-2873.84,16980.36,4064.6,-3293.89,4.85,-2326.42,5762.33,-1301.93,1316.15,-1564.61,,,,,
0.006,253195,3602.83,4800.03,1877.56,-5656.54,299.41,165.56,4904.19,-5215.72,-254.89,-308.71,7790.82,4597.91,-8576.81,18802.3,-2239.39,-2090.6,-1863.53,2514.85,4200.09,2266.81,-1535.94,1162.41,-2876.65,16972.37,4059.04,-3294.2,8.02,-2329.95,5767.99,-1292.55,1326.86,-1547.82,,,,,
0.008,253196,3609.67,4805.42,1886.29,-5650.86,304.78,172.48,4912.68,-5207.77,-248.22,-305.07,7797.52,4605.93,-8568.58,18809.19,-2248.85,-2083.09,-1854.92,2522.51,4209.7,2270.16,-1528.77,1169.95,-2869.43,16978.67,4059.73,-3286.2,17.55,-2321.72,5773.99,-1276.77,1347.01,-1533.55,,,,,
0.010,253197,3610.66,4805.48,1890.22,-5651.34,302.3,174.85,4916.74,-5205.91,-248.53,-310.21,7797.71,4608.4,-8566.49,18811.07,-2280.29,-2083.6,-1852.0,2524.82,4213.35,2280.1,-1527.1,1172.19,-2864.45,16982.22,4059.5,-3279.37,22.41,-2315.55,5774.94,-1271.08,1358.46,-1532.79,,,,,
0.012,253198,3608.74,4800.48,1889.5,-5656.33,295.55,173.36,4914.62,-5210.87,-254.02,-317.85,7794.9,4604.71,-8571.53,18798.87,-2296.57,-2087.9,-1856.1,2519.58,4188.36,2264.78,-1529.48,1168.33,-2868.31,16968.59,4052.7,-3278.29,19.1,-2320.08,5769.13,-1276.61,1354.88,-1541.1,,,,,
0.014,253199,3613.49,4801.5,1892.05,-5656.54,296.71,176.14,4915.23,-5211.98,-255.85,-314.4,7798.53,4604.14,-8572.11,18793.45,-2282.19,-2084.25,-1857.63,2519.0,4158.73,2242.3,-1526.34,1167.45,-2869.6,16954.12,4046.71,-3278.58,15.95,-2323.27,5760.91,-1280.27,1346.7,-1549.34,,,,,
0.016,253200,3620.42,4808.33,1895.41,-5652.73,303.09,180.42,4918.38,-5208.4,-254.16,-304.7,7803.83,4606.63,-8567.26,18802.62,-2265.12,-2077.75,-1855.81,2524.31,4163.4,2246.26,-1521.95,1169.7,-2865.02,16958.64,4046.64,-3281.01,15.44,-2319.71,5755.17,-1281.03,1339.85,-1555.42,,,,,
0.018,253201,3616.42,4809.05,1889.85,-5653.49,300.16,175.73,4914.46,-5209.61,-255.5,-306.02,7798.37,4603.05,-8568.26,18801.43,-2270.03,-2083.89,-1859.53,2522.82,4197.93,2266.34,-1529.76,1166.1,-2866.5,16975.15,4044.03,-3292.14,10.93,-2320.57,5753.17,-1287.36,1331.22,-1560.18,,,,,
