Cygnus version: 0.28.0.7,File version: 2021.11
Operative system: Windows
Record datetime: 2025-09-24 17:13:40.405
Device ID: STEEG_DG329018
Device verison: 
Device bandwidth: DC to 131 Hz
Device sampling rate: 500 samples/second
Data type / unit: EEG / micro-volt (uV)
Bandpass filter: None
Notch filter: None
Timestamp,Serial Number,Fp1,Fp2,AF3,AF4,F7,F3,Fz,F4,F8,FT7,FC3,FCz,FC4,FT8,T7,C3,Cz,C4,T8,TP7,CP3,CPz,CP4,TP8,P7,P3,Pz,P4,P8,O1,Oz,O2,Event Id,Event Date,Event Duration,Software Marker,Software Marker Name
0.000,211057,15830.58,208434.89,14561.22,58865.6,10956.65,27344.36,31900.54,23818.42,9844.33,11027.23,9940.63,10858.08,14070.69,19638.65,22222.01,9850.46,8308.72,8128.61,8741.72,8621.11,17293.41,22556.04,-1790.42,754.37,16188.25,11617.45,15026.27,11077.17,17662.71,162437.46,103876.51,17481.34,,,,,
0.002,211058,15540.96,208432.68,14403.51,58860.3,10878.44,27196.87,31848.6,23731.69,9763.76,10955.77,9786.39,10782.02,13937.93,19523.18,22090.22,9796.33,8223.31,8081.38,8611.43,8524.5,17225.28,22470.34,-1212.79,1705.13,16189.55,11626.12,15027.39,11051.12,17502.75,162419.91,103828.97,17400.61,,,,,
0.004,211059,15068.42,208306.3,14136.43,58848.0,10754.51,26980.61,31759.65,23608.5,9627.09,10843.52,9552.01,10659.2,13756.29,19364.47,21897.44,9693.36,8123.89,8022.69,8444.56,8396.62,17141.69,22345.63,-592.03,1723.4,16212.74,11662.01,15040.65,11041.57,17305.33,162416.21,103784.47,17316.71,,,,,
0.006,211060,14549.67,208118.99,13850.59,58834.07,10623.53,26759.28,31662.97,23484.6,9483.38,10727.57,9305.97,10527.42,13577.59,19209.37,21701.41,9572.82,8039.0,7969.08,8290.17,8273.76,17070.64,22216.47,-108.22,1373.37,16248.61,11712.12,15062.09,11047.75,17123.23,162423.66,103754.07,17247.83,,,,,
0.008,211061,14326.33,208037.19,13750.24,58830.33,10574.19,26678.89,31627.14,23440.95,9439.12,10688.63,9209.9,10475.42,13516.58,19158.86,21630.24,9515.07,8020.4,7953.82,8246.31,8233.26,17059.2,22165.3,-62.59,1512.18,16269.16,11738.74,15076.44,11059.13,17065.33,162430.88,103752.5,17227.66,,,,,
0.010,211062,14568.43,208113.7,13913.21,58839.73,10644.55,26806.29,31680.35,23514.84,9530.25,10757.36,9340.26,10542.67,13626.3,19256.65,21739.94,9559.11,8087.55,7991.25,8352.58,8310.0,17118.51,22233.64,-552.58,1643.72,16261.76,11724.51,15074.44,11071.84,17183.38,162435.22,103784.98,17276.44,,,,,
0.012,211063,15112.83,208253.01,14218.69,58853.31,10786.23,27059.43,31783.27,23659.94,9687.91,10885.73,9612.23,10682.77,13840.2,19442.09,21960.14,9671.76,8203.54,8060.17,8546.08,8458.75,17212.1,22379.39,-1307.25,925.15,16237.16,11685.07,15059.88,11086.18,17413.66,162441.06,103837.6,17375.13,,,,,
0.014,211064,15631.98,208363.73,14483.35,58861.78,10915.15,27284.94,31873.12,23788.21,9816.7,10997.92,9862.3,10812.52,14029.27,19604.15,22161.62,9788.17,8300.85,8119.71,8713.05,8591.38,17287.92,22514.64,-1867.23,11.69,16210.26,11644.59,15042.0,11093.87,17620.78,162445.35,103880.46,17466.78,,,,,
0.016,211065,15862.19,208432.41,14587.82,58863.3,10968.13,27366.87,31908.66,23832.58,9861.75,11040.53,9962.05,10867.96,14092.74,19657.95,22240.86,9851.98,8324.83,8136.93,8763.95,8636.18,17307.48,22567.38,-1916.98,223.96,16189.75,11618.47,15028.25,11083.56,17687.25,162439.05,103885.81,17492.59,,,,,
0.018,211066,15702.42,208443.31,14491.18,58858.85,10921.77,27272.98,31876.92,23775.91,9808.17,10995.07,9869.04,10824.24,14005.32,19581.51,22160.66,9830.49,8264.18,8104.45,8676.07,8573.19,17259.49,22515.13,-1466.47,1326.22,16184.71,11617.82,15024.62,11059.87,17581.61,162423.93,103850.09,17438.09,,,,,
