Cygnus version: 0.28.0.7,File version: 2021.11
Operative system: Windows
Record datetime: 2025-09-24 16:47:34.471
Device ID: STEEG_DG329018
Device verison: 
Device bandwidth: DC to 131 Hz
Device sampling rate: 500 samples/second
Data type / unit: EEG / micro-volt (uV)
Bandpass filter: None
Notch filter: None
Timestamp,Serial Number,Fp1,Fp2,AF3,AF4,F7,F3,Fz,F4,F8,FT7,FC3,FCz,FC4,FT8,T7,C3,Cz,C4,T8,TP7,CP3,CPz,CP4,TP8,P7,P3,Pz,P4,P8,O1,Oz,O2,Event Id,Event Date,Event Duration,Software Marker,Software Marker Name
0.000,1788942,10129.81,7360.65,10162.71,3128.35,25633.65,4180.76,12673.17,2080.23,11735.65,10854.28,11639.18,9722.47,-1910.05,19904.18,-849.77,4157.6,3356.16,8733.41,8412.48,8803.5,6714.82,7260.07,1915.41,22664.85,11792.91,4885.11,5337.82,4200.88,8243.23,8711.59,11576.77,9967.31,,,,,
0.002,1788943,10121.21,7350.57,10158.12,3119.64,25630.79,4179.26,12668.85,2070.09,11722.21,10855.7,11639.75,9719.26,-1914.46,19907.53,-838.39,4161.45,3352.15,8730.75,8386.67,8825.74,6721.0,7256.64,1909.13,22676.19,11838.37,4895.93,5334.65,4191.57,8231.72,8697.62,11566.98,9957.54,,,,,
0.004,1788944,10123.61,7346.47,10162.12,3117.21,25632.76,4183.07,12670.34,2064.52,11715.08,10861.67,11643.52,9719.43,-1918.03,19909.48,-830.84,4165.57,3350.22,8725.66,8365.14,8832.95,6723.91,7254.89,1898.86,22637.64,11843.12,4902.53,5332.92,4179.13,8219.43,8703.01,11569.0,9957.12,,,,,
0.006,1788945,10136.57,7350.67,10173.42,3122.0,25637.19,4191.0,12677.39,2066.34,11718.57,10869.62,11649.49,9723.43,-1917.34,19909.99,-829.96,4168.59,3351.72,8723.47,8373.41,8819.13,6723.03,7256.67,1893.75,22604.2,11809.61,4903.09,5335.38,4173.04,8214.69,8723.21,11581.4,9970.61,,,,,
0.008,1788946,10146.91,7356.57,10179.79,3125.28,25635.11,4193.25,12680.66,2069.42,11724.68,10870.33,11649.93,9724.02,-1916.34,19903.07,-837.49,4165.09,3351.21,8723.45,8405.23,8792.09,6716.19,7257.05,1896.69,22627.58,11767.21,4895.18,5337.06,4177.01,8223.36,8736.11,11588.79,9983.16,,,,,
0.010,1788947,10142.69,7354.47,10171.34,3117.43,25622.55,4181.96,12671.39,2063.45,11719.23,10858.94,11638.57,9713.09,-1924.88,19883.98,-851.65,4151.61,3341.0,8714.98,8405.91,8769.25,6701.58,7247.74,1893.01,22649.72,11737.46,4878.3,5327.49,4176.28,8234.79,8727.43,11578.5,9972.69,,,,,
0.012,1788948,10128.76,7346.65,10154.75,3104.21,25609.68,4165.07,12655.88,2051.75,11706.12,10844.4,11623.19,9697.16,-1938.94,19866.96,-863.48,4136.91,3326.69,8700.14,8359.35,8764.06,6687.76,7233.32,1877.6,22613.1,11730.0,4862.18,5310.05,4162.4,8234.22,8703.52,11557.73,9946.44,,,,,
0.014,1788949,10120.83,7345.81,10146.47,3101.87,25610.34,4159.43,12650.17,2049.94,11705.82,10840.68,11619.24,9693.05,-1940.96,19872.04,-862.1,4135.37,3324.32,8697.81,8328.64,8773.73,6688.33,7229.94,1869.85,22573.98,11744.79,4860.44,5303.51,4152.21,8226.53,8682.69,11546.09,9935.54,,,,,
0.016,1788950,10123.55,7353.63,10150.77,3112.09,25622.38,4167.68,12657.03,2060.13,11721.08,10848.1,11628.11,9703.05,-1929.05,19890.99,-849.13,4146.62,3335.75,8711.96,8357.57,8783.17,6701.18,7240.76,1881.43,22597.77,11764.43,4871.47,5314.34,4161.17,8230.29,8679.16,11550.54,9946.25,,,,,
0.018,1788951,10125.64,7355.03,10155.51,3117.47,25629.45,4174.9,12661.92,2064.45,11728.43,10853.26,11634.76,9710.03,-1923.95,19895.43,-840.95,4154.41,3343.15,8720.55,8398.68,8783.57,6708.09,7248.89,1893.32,22639.6,11769.67,4878.87,5325.24,4175.62,8245.6,8692.15,11558.6,9953.59,,,,,
0.020,1788952,10121.06,7342.79,10153.47,3109.37,25625.11,4172.92,12656.98,2054.13,11716.24,10850.66,11631.82,9704.41,-1934.99,19882.34,-846.52,4151.3,3336.66,8711.36,8397.3,8782.39,6702.21,7243.95,1887.36,22634.26,11767.48,4876.39,5322.56,4174.95,8248.95,8706.31,11559.21,9949.08,,,,,
0.022,1788953,10121.55,7333.35,10154.6,3103.09,25622.24,4172.94,12654.04,2046.2,11705.44,10852.21,11630.92,9699.09,-1942.95,19878.29,-850.6,4149.72,3329.78,8703.02,8381.16,8790.38,6698.8,7238.01,1877.24,22614.01,11777.51,4876.78,5316.79,4165.88,8229.91,8706.16,11557.68,9951.56,,,,,
0.024,1788954,10137.93,7344.28,10168.32,3113.57,25632.06,4184.97,12664.17,2056.94,11715.74,10867.22,11641.57,9706.66,-1931.92,19893.79,-835.12,4159.98,3335.94,8712.54,8400.72,8804.77,6709.23,7243.52,1883.72,22635.99,11795.99,4887.98,5321.49,4169.09,8211.72,8692.62,11562.66,9963.09,,,,,
0.026,1788955,10159.99,7367.98,10185.43,3131.77,25646.57,4199.34,12678.62,2076.32,11735.28,10884.55,11653.89,9718.74,-1914.86,19908.8,-811.62,4172.17,3347.05,8727.78,8437.5,8813.6,6721.76,7252.92,1899.98,22674.88,11805.07,4897.64,5330.17,4184.0,8217.47,8680.49,11569.79,9960.8,,,,,
0.028,1788956,10169.1,7383.49,10190.55,3140.52,25652.47,4201.77,12683.27,2086.05,11743.96,10887.58,11654.81,9722.1,-1909.07,19909.95,-808.65,4172.74,3350.03,8732.24,8441.48,8813.33,6722.07,7254.62,1907.44,22680.69,11807.55,4893.81,5331.05,4193.3,8234.6,8679.11,11569.2,9943.01,,,,,
0.030,1788957,10164.67,7386.31,10185.25,3140.93,25652.24,4195.89,12680.86,2087.93,11745.55,10879.28,11649.35,9721.15,-1907.62,19908.08,-826.64,4166.84,3349.51,8733.43,8418.12,8811.9,6717.08,7253.91,1908.14,22671.13,11816.3,4886.12,5329.36,4194.22,8236.49,8684.09,11562.57,9937.77,,,,,
0.032,1788958,10162.5,7388.65,10184.21,3145.8,25657.58,4196.0,12683.81,2094.6,11754.2,10876.71,11651.06,9727.76,-1896.93,19911.36,-834.09,4168.81,3356.75,8744.05,8412.51,8815.06,6721.4,7261.21,1915.31,22684.93,11823.85,4890.19,5336.09,4199.24,8224.4,8689.67,11560.47,9954.21,,,,,
0.034,1788959,10169.01,7394.34,10191.72,3154.84,25668.01,4203.75,12692.06,2102.83,11764.88,10884.08,11659.36,9738.5,-1885.39,19912.66,-817.37,4178.11,3366.95,8754.53,8431.73,8819.05,6731.59,7270.94,1924.75,22704.62,11818.45,4901.87,5345.86,4208.99,8220.12,8697.92,11565.22,9968.04,,,,,
0.036,1788960,10173.28,7392.68,10196.64,3155.05,25670.88,4207.05,12693.74,2097.67,11760.89,10888.17,11661.48,9739.31,-1891.21,19909.38,-803.07,4180.93,3365.57,8747.74,8436.78,8818.59,6732.46,7269.32,1920.53,22692.4,11812.12,4904.96,5345.11,4208.41,8227.37,8710.95,11568.14,9965.14,,,,,
0.038,1788961,10168.16,7379.87,10192.23,3143.46,25661.99,4200.44,12685.51,2079.43,11742.66,10882.06,11653.8,9728.22,-1911.63,19908.24,-813.82,4173.01,3351.98,8727.72,8403.04,8815.15,6722.95,7256.84,1902.01,22652.51,11818.1,4898.81,5335.33,4191.97,8230.78,8724.16,11565.63,9960.16,,,,,
0.040,1788962,10164.27,7370.21,10187.56,3133.52,25653.07,4193.15,12678.58,2067.03,11729.15,10876.88,11647.09,9718.41,-1925.35,19908.13,-831.53,4165.87,3340.89,8714.11,8354.75,8815.38,6717.8,7247.52,1885.96,22614.33,11824.5,4899.04,5330.27,4174.47,8227.23,8731.25,11566.02,9964.16,,,,,
0.042,1788963,10173.47,7377.52,10192.58,3136.24,25655.04,4194.1,12682.0,2072.61,11732.39,10882.68,11649.5,9719.13,-1921.4,19902.84,-829.71,4168.33,3341.54,8715.88,8339.52,8823.76,6723.99,7248.55,1885.02,22598.83,11822.12,4910.08,5333.65,4172.26,8227.86,8726.61,11572.76,9968.25,,,,,
0.044,1788964,10188.84,7395.68,10201.62,3146.12,25663.55,4198.82,12689.82,2086.63,11744.67,10891.04,11654.78,9724.74,-1909.83,19898.08,-817.38,4173.28,3347.4,8725.04,8377.78,8835.43,6730.14,7252.69,1895.95,22619.76,11825.85,4914.62,5335.03,4184.55,8231.75,8703.7,11571.61,9964.69,,,,,
0.046,1788965,10193.35,7407.33,10201.32,3150.72,25667.36,4196.83,12690.08,2092.72,11751.77,10887.87,11652.11,9724.75,-1905.07,19902.6,-820.03,4168.84,3347.86,8730.27,8434.65,8836.38,6723.33,7251.01,1906.13,22667.36,11837.14,4898.25,5327.94,4196.58,8226.92,8667.05,11549.63,9955.7,,,,,
0.048,1788966,10184.05,7406.23,10190.57,3146.98,25664.5,4187.16,12680.99,2087.61,11749.53,10874.71,11641.48,9717.55,-1909.8,19909.34,-835.79,4155.71,3341.7,8727.26,8452.43,8817.97,6707.04,7244.28,1905.04,22691.59,11825.95,4872.6,5319.61,4195.72,8216.14,8644.15,11522.15,9943.19,,,,,
