Cygnus version: 0.28.0.7,File version: 2021.11
Operative system: Windows
Record datetime: 2025-09-14 17:53:36.209
Device ID: STEEG_DG329018
Device verison: 
Device bandwidth: DC to 131 Hz
Device sampling rate: 500 samples/second
Data type / unit: EEG / micro-volt (uV)
Bandpass filter: None
Notch filter: None
Timestamp,Serial Number,Fp1,Fp2,AF3,AF4,F7,F3,Fz,F4,F8,FT7,FC3,FCz,FC4,FT8,T7,C3,Cz,C4,T8,TP7,CP3,CPz,CP4,TP8,P7,P3,Pz,P4,P8,O1,Oz,O2,Event Id,Event Date,Event Duration,Software Marker,Software Marker Name
0.000,642993,-9720.42,-2203.26,802.16,3637.66,103496.36,-95.26,4386.26,-1260.5,75592.62,143288.09,5071.07,20853.37,9265.16,79258.97,123234.82,4487.87,9443.57,9305.52,138847.34,123754.01,-790.09,292.49,24607.12,119435.88,97769.97,-1948.98,-4883.86,-3576.15,92580.75,670.15,12135.16,795.45,,,,,
0.002,642994,-9714.67,-2194.05,823.99,3650.99,103509.21,-65.39,4418.74,-1230.61,75618.5,143283.9,5081.36,20865.1,9276.37,79279.62,123237.57,4494.69,9452.38,9311.23,138856.77,123753.04,-787.56,304.51,24597.36,119431.52,97769.42,-1882.23,-4854.94,-3576.24,92574.76,702.41,12146.3,801.84,,,,,
0.004,642995,-9715.07,-2192.03,838.5,3658.24,103724.06,-42.96,4448.35,-1206.66,75875.75,143433.88,5088.76,20874.9,9283.88,79457.62,123390.47,4503.69,9466.26,9316.69,139008.57,123863.2,-784.86,321.9,24586.85,119546.73,97892.71,-1807.38,-4821.52,-3575.34,92672.9,728.8,12143.81,809.22,,,,,
0.006,642996,-9722.5,-2199.53,838.0,3653.98,104045.72,-39.94,4457.92,-1202.08,76259.51,143663.64,5087.71,20875.35,9280.86,79710.45,123620.24,4508.61,9475.12,9316.74,139230.22,124023.93,-785.4,333.27,24578.16,119721.08,98076.1,-1765.74,-4802.4,-3576.43,92819.68,738.07,12132.85,812.99,,,,,
0.008,642997,-9732.26,-2212.65,821.88,3638.99,104238.62,-60.56,4435.67,-1223.82,76491.29,143800.17,5076.7,20863.0,9265.73,79849.38,123752.62,4503.18,9467.49,9308.17,139354.85,124109.91,-790.92,325.03,24575.8,119820.72,98178.79,-1800.22,-4818.28,-3581.61,92901.15,722.16,12126.88,808.31,,,,,
0.010,642998,-9738.98,-2224.6,799.9,3621.98,104218.04,-91.8,4396.46,-1258.9,76455.8,143790.82,5063.11,20846.68,9248.39,79815.76,123730.53,4491.6,9449.43,9296.8,139330.8,124093.93,-797.25,302.94,24581.65,119809.22,98162.5,-1887.68,-4859.35,-3587.21,92893.3,689.71,12129.09,798.23,,,,,
0.012,642999,-9741.0,-2230.74,783.3,3611.82,104038.17,-115.28,4366.61,-1285.93,76220.87,143673.47,5055.38,20838.01,9240.36,79661.99,123597.77,4482.45,9436.21,9291.03,139201.69,124008.7,-800.08,284.75,24592.0,119717.25,98062.06,-1962.81,-4894.63,-3588.98,92821.38,662.79,12134.22,790.66,,,,,
0.014,643000,-9739.58,-2229.88,777.28,3611.12,103765.48,-122.1,4357.85,-1293.45,75892.68,143481.48,5054.96,20839.05,9243.19,79445.54,123403.23,4478.1,9432.68,9292.07,139014.32,123874.33,-800.18,278.76,24599.7,119570.23,97907.33,-1987.83,-4905.81,-3587.96,92697.47,656.76,12138.94,788.94,,,,,
0.016,643001,-9735.24,-2222.29,784.17,3619.04,103519.12,-111.04,4369.08,-1280.55,75617.27,143299.31,5059.92,20846.08,9252.33,79263.77,123234.15,4477.88,9435.35,9296.71,138854.39,123752.79,-798.57,282.98,24600.35,119437.11,97769.79,-1963.97,-4894.48,-3586.31,92580.88,669.36,12140.64,790.54,,,,,
0.018,643002,-9727.94,-2209.56,804.25,3634.11,103473.47,-84.32,4398.46,-1251.11,75574.41,143264.85,5070.21,20858.0,9265.96,79249.95,123212.47,4484.78,9445.65,9305.0,138840.61,123744.47,-792.4,297.63,24596.19,119423.16,97756.93,-1901.05,-4865.52,-3581.92,92570.83,691.35,12135.59,793.96,,,,,
