Record datetime: 2025-09-14 17:53:29.823497
Timestamp,Fp1,Fp2,AF3,AF4,F3,Fz,F4,FC3,FCz,FC4,C3,Cz,C4,CP3,CPz,CP4,P3,Pz,P4,O1,Oz,O2
0.000,-9876.74,-2241.75,687.0,3562.38,-123.87,4192.56,-1497.3,4945.86,20844.61,9236.5,4372.22,9300.47,9269.45,-850.75,74.48,24554.91,-2216.4,-5221.14,-3703.06,519.14,12011.16,710.83
0.002,-9872.59,-2230.79,699.3,3573.64,-108.23,4212.23,-1476.06,4951.31,20853.42,9248.03,4374.06,9306.86,9276.11,-847.98,83.28,24554.2,-2177.86,-5202.15,-3700.2,532.6,12008.74,714.41
0.004,-9869.46,-2221.81,714.18,3583.3,-89.76,4236.95,-1452.82,4956.28,20860.17,9256.8,4378.75,9315.49,9280.62,-847.49,94.82,24545.88,-2125.7,-5180.28,-3700.15,548.74,11998.19,714.05
0.006,-9871.51,-2221.14,727.77,3589.24,-67.32,4266.9,-1428.77,4963.74,20870.4,9264.71,4386.35,9329.89,9287.19,-845.12,114.35,24536.09,-2046.7,-5140.68,-3698.95,575.6,11992.43,720.31
0.008,-9879.65,-2232.09,723.35,3581.29,-70.32,4269.23,-1429.57,4960.34,20869.38,9257.24,4390.69,9335.3,9285.23,-844.94,121.59,24527.95,-2017.78,-5130.71,-3699.53,577.3,11982.28,720.4
0.010,-9885.91,-2243.36,707.39,3567.29,-93.52,4241.2,-1455.68,4949.3,20855.61,9241.51,4385.68,9323.76,9274.95,-849.37,108.58,24528.71,-2072.5,-5155.61,-3703.42,556.78,11982.28,719.01
0.012,-9888.95,-2252.12,690.09,3554.73,-118.87,4206.78,-1485.36,4939.69,20841.75,9227.07,4377.37,9307.53,9266.5,-853.66,88.69,24536.14,-2148.81,-5192.67,-3706.19,527.95,11986.44,714.94
0.014,-9893.46,-2260.25,670.55,3542.48,-144.03,4175.26,-1512.72,4929.36,20828.16,9216.88,4364.13,9289.74,9258.14,-861.44,67.01,24543.42,-2219.35,-5228.43,-3709.09,502.42,11989.34,706.76
0.016,-9896.59,-2261.95,662.42,3539.13,-150.83,4166.45,-1519.38,4927.0,20826.1,9216.61,4358.19,9283.71,9256.44,-864.21,59.41,24546.42,-2233.43,-5237.59,-3709.23,498.49,11990.5,700.41
0.018,-9889.8,-2251.22,675.07,3549.5,-134.29,4182.28,-1501.23,4934.19,20833.61,9226.62,4359.75,9287.37,9261.27,-861.48,63.88,24544.18,-2203.52,-5224.36,-3710.21,508.95,11988.13,697.55
0.020,-9883.36,-2242.28,696.39,3562.33,-105.28,4214.15,-1471.5,4945.06,20844.52,9237.04,4366.5,9295.64,9266.63,-857.37,76.4,24533.05,-2130.79,-5196.07,-3710.79,530.09,11984.33,702.65
0.022,-9880.01,-2235.44,712.71,3570.29,-84.09,4242.45,-1449.24,4949.75,20849.98,9243.97,4373.25,9306.73,9272.35,-857.23,90.39,24523.75,-2072.19,-5170.85,-3709.99,551.15,11974.81,705.38
0.024,-9888.72,-2242.42,711.9,3565.06,-82.88,4249.87,-1446.56,4947.96,20847.47,9241.55,4377.1,9313.7,9272.8,-859.51,101.07,24516.65,-2037.76,-5151.81,-3711.06,564.07,11969.54,712.26
0.026,-9897.13,-2255.78,700.82,3552.18,-95.98,4232.84,-1461.89,4943.04,20838.67,9229.12,4375.58,9307.85,9265.11,-860.72,96.96,24513.07,-2051.85,-5159.1,-3713.79,552.76,11970.83,716.87
